id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/c1802270-0126-4be5-b7e7-1a9a472f5fd7,Adam Smith,Republican,120,lower,Adam,Smith,,,,,http://www.kslegislature.org/li/m/images/pics/rep_smith_adam_1.jpg,http://www.kslegislature.org/li/b2019_20/members/rep_smith_adam_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_smith_adam_1,"Room 151-S;Kansas State Capitol Building;300 SW 10th St.;Topeka, KS 66612",Adam.Smith@house.ks.gov,785-296-0715,,,,,,,,,
ocd-person/2c46aedb-f7a4-4f9a-bade-5ae192acc2a3,Adam Thomas,Republican,26,lower,Adam,Thomas,,,,,http://www.kslegislature.org/li/m/images/pics/rep_thomas_adam_1.jpg,http://www.kslegislature.org/li/b2019_20/members/rep_thomas_adam_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_thomas_adam_1,"Room 268-W;Kansas State Capitol Building;300 SW 10th St.;Topeka, KS 66612",Adam.Thomas@house.ks.gov,785-296-7654,,,,,,,,,
ocd-person/12d14470-2c7c-47b5-a472-7653e4fb2aeb,Annie Kuether,Democratic,55,lower,Annie,Kuether,,,,,http://www.kslegislature.org/li/m/images/pics/rep_kuether_annie_1.jpg,http://www.kslegislature.org/li/b2019_20/members/rep_kuether_annie_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_kuether_annie_1,"Room 43-S;Kansas State Capitol Building;300 SW 10th St.;Topeka, KS 66612",annie.kuether@house.ks.gov,785-296-7669,,,,,,,,,
ocd-person/47c31139-24bf-443d-8f96-312816676b49,Anthony Hensley,Democratic,19,upper,Anthony,Hensley,,,,,http://www.kslegislature.org/li/m/images/pics/sen_hensley_anthony_1.jpg,http://www.kslegislature.org/li/b2019_20/members/sen_hensley_anthony_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/sen_hensley_anthony_1,"Room 318-E;Kansas State Capitol Building;300 SW 10th St.;Topeka, KS 66612",Anthony.Hensley@senate.ks.gov,785-296-3245,,,,,,,,,
ocd-person/3bf41768-e1b5-4017-8ab5-8d1fb1d6521c,Barbara Ballard,Democratic,44,lower,Barbara,Ballard,,,,,http://www.kslegislature.org/li/m/images/pics/rep_ballard_barbara_1.jpg,http://www.kslegislature.org/li/b2019_20/members/rep_ballard_barbara_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_ballard_barbara_1,"Room 451-S;Kansas State Capitol Building;300 SW 10th St.;Topeka, KS 66612",barbara.ballard@house.ks.gov,785-296-7697,,,,,,,,,
ocd-person/247a7316-39fc-4697-9ed1-1da877d31d48,Barbara Bollier,Democratic,7,upper,Barbara,Bollier,,,,,http://www.kslegislature.org/li/m/images/pics/sen_bollier_barbara_1.jpg,http://www.kslegislature.org/li/b2019_20/members/sen_bollier_barbara_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/sen_bollier_barbara_1,"Room 237-E;Kansas State Capitol Building;300 SW 10th St.;Topeka, KS 66612",Barbara.Bollier@senate.ks.gov,785-296-7390,,,,,,,,,
ocd-person/7aac5ab6-1590-4cfe-8c02-d61f292497c8,Barbara Wasinger,Republican,111,lower,Barbara,Wasinger,,,,,http://www.kslegislature.org/li/m/images/pics/rep_wasinger_barbara_1.jpg,http://www.kslegislature.org/li/b2019_20/members/rep_wasinger_barbara_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_wasinger_barbara_1,"Room 167-W;Kansas State Capitol Building;300 SW 10th St.;Topeka, KS 66612",Barb.Wasinger@house.ks.gov,785-296-4683,,,,,,,,,
ocd-person/59b835b9-32a5-4ade-9a4b-d786503f5681,Bill Pannbacker,Republican,106,lower,Bill,Pannbacker,,,,,http://www.kslegislature.org/li/m/images/pics/rep_pannbacker_bill_1.jpg,http://www.kslegislature.org/li/b2019_20/members/rep_pannbacker_bill_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_pannbacker_bill_1,"Room 166-W;Kansas State Capitol Building;300 SW 10th St.;Topeka, KS 66612",Bill.Pannbacker@house.ks.gov,785-296-7637,,,,,,,,,
ocd-person/d01abc3e-cce3-450e-8d2c-41491b5bbde6,Bill Rhiley,Republican,80,lower,Bill,Rhiley,,,,,http://www.kslegislature.org/li/m/images/pics/rep_rhiley_bill_1.jpg,http://www.kslegislature.org/li/b2019_20/members/rep_rhiley_bill_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_rhiley_bill_1,"Room 166-W;Kansas State Capitol Building;300 SW 10th St.;Topeka, KS 66612",Bill.Rhiley@house.ks.gov,785-296-7671,,,,,,,,,
ocd-person/dc23fc2c-0f64-4fab-96ec-951f0efbe7bb,Bill Sutton,Republican,43,lower,Bill,Sutton,,,,,http://www.kslegislature.org/li/m/images/pics/rep_sutton_william_1.jpg,http://www.kslegislature.org/li/b2019_20/members/rep_sutton_william_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_sutton_william_1,"Room 274-W;Kansas State Capitol Building;300 SW 10th St.;Topeka, KS 66612",bill.sutton@house.ks.gov,785-296-7676,,,,,,,,,
ocd-person/1d864a5d-0e34-4c79-a084-d765bb1dd869,Blaine Finch,Republican,59,lower,Blaine,Finch,,,,,http://www.kslegislature.org/li/m/images/pics/rep_finch_blaine_1.jpg,http://www.kslegislature.org/li/b2019_20/members/rep_finch_blaine_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_finch_blaine_1,"Room 381-W;Kansas State Capitol Building;300 SW 10th St.;Topeka, KS 66612",blaine.finch@house.ks.gov,785-291-3500,,,,,,,,,
ocd-person/38998536-e18f-44bb-8e80-01bfee04e991,Blake Carpenter,Republican,81,lower,Blake,Carpenter,,,,,http://www.kslegislature.org/li/m/images/pics/rep_carpenter_blake_1.jpg,http://www.kslegislature.org/li/b2019_20/members/rep_carpenter_blake_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_carpenter_blake_1,"Room 512-N;Kansas State Capitol Building;300 SW 10th St.;Topeka, KS 66612",blake.carpenter@house.ks.gov,785-296-7567,,,,,,,,,
ocd-person/c504fb9b-fbd3-44ec-bd1a-2ca5ce7f20f5,Boyd Orr,Republican,115,lower,Boyd,Orr,,,,,http://www.kslegislature.org/li/m/images/pics/rep_orr_boyd_1.jpg,http://www.kslegislature.org/li/b2019_20/members/rep_orr_boyd_1/,http://www.kslegislature.org/li/api/v11/rev-1/members/rep_orr_boyd_1,"Room 519-N;Kansas State Capitol Building;300 SW 10th St.;Topeka, KS 66612",Boyd.Orr@house.ks.gov,785-296-7392,,,,,,,,,
