id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/ad23d4a9-9a62-40a5-94a5-246f7741c3e2,Andrew Farmer,Republican,17,lower,Andrew,Farmer,,,,,http://www.capitol.tn.gov/house/members/images/h17.jpg,http://www.capitol.tn.gov/house/members/h17.html,http://www.capitol.tn.gov/house/members/;http://www.capitol.tn.gov/house/members/h17.html,"425 5th Avenue North;Suite 630 Cordell Hull Bldg.;Nashville, TN 37243",rep.andrew.farmer@capitol.tn.gov,615-741-4419,615-253-0203,,,,,,,,
ocd-person/bba455c5-11d9-45d6-9763-46af67526f29,Andy Holt,Republican,76,lower,Andy,Holt,,,,,http://www.capitol.tn.gov/house/members/images/h76.jpg,http://www.capitol.tn.gov/house/members/h76.html,http://www.capitol.tn.gov/house/members/;http://www.capitol.tn.gov/house/members/h76.html,"425 5th Avenue North;Suite 642 Cordell Hull Bldg.;Nashville, TN 37243",rep.andy.holt@capitol.tn.gov,615-741-7847,615-253-0293,,,,,,,,
ocd-person/9c438a2b-61bd-4cf5-80f7-d3cac3a86108,Art Swann,Republican,2,upper,Art,Swann,,,,,http://www.capitol.tn.gov/senate/members/images/s2.jpg,http://www.capitol.tn.gov/senate/members/s2.html,http://www.capitol.tn.gov/senate/members/;http://www.capitol.tn.gov/senate/members/s2.html,"425 5th Avenue North;Suite 740 Cordell Hull Bldg.;Nashville, TN 37243",sen.art.swann@capitol.tn.gov,615-741-0981,615-253-0224,,,,,,,,
ocd-person/8a1f282e-ffd5-48ee-ae18-81e58e7e28b7,Barbara Ward Cooper,Democratic,86,lower,Barbara,Cooper,,,,,http://www.capitol.tn.gov/house/members/images/h86.jpg,http://www.capitol.tn.gov/house/members/h86.html,http://www.capitol.tn.gov/house/members/;http://www.capitol.tn.gov/house/members/h86.html,"425 5th Avenue North;Suite 410 Cordell Hull Bldg.;Nashville, TN 37243",rep.barbara.cooper@capitol.tn.gov,615-741-4295,615-253-0327,,,,,,,,
ocd-person/592971a7-2e11-4bed-a57d-71187e174329,Becky Duncan Massey,Republican,6,upper,Becky,Massey,,,,,http://www.capitol.tn.gov/senate/members/images/s6.jpg,http://www.capitol.tn.gov/senate/members/s6.html,http://www.capitol.tn.gov/senate/members/;http://www.capitol.tn.gov/senate/members/s6.html,"425 5th Avenue North;Suite 742 Cordell Hull Bldg.;Nashville, TN 37243",sen.becky.massey@capitol.tn.gov,615-741-1648,615-253-0270,,,,,,,,
ocd-person/b9de4a4a-01e3-4293-82d7-f22f2cad7b31,Bill Dunn,Republican,16,lower,Bill,Dunn,,,,,http://www.capitol.tn.gov/house/members/images/h16.jpg,http://www.capitol.tn.gov/house/members/h16.html,http://www.capitol.tn.gov/house/members/;http://www.capitol.tn.gov/house/members/h16.html,"425 5th Avenue North;Suite 612 Cordell Hull Bldg.;Nashville, TN 37243",rep.bill.dunn@capitol.tn.gov,615-741-1721,615-253-0276,,,,,,,,
ocd-person/98e2f0f3-9ddf-4b67-9c72-aadeda1499c3,Bill Sanderson,Republican,77,lower,Bill,Sanderson,,,,,http://www.capitol.tn.gov/house/members/images/h77.jpg,http://www.capitol.tn.gov/house/members/h77.html,http://www.capitol.tn.gov/house/members/;http://www.capitol.tn.gov/house/members/h77.html,"425 5th Avenue North;Suite 406 Cordell Hull Bldg.;Nashville, TN 37243",rep.bill.sanderson@capitol.tn.gov,615-741-0718,615-253-0214,,,,,,,,
ocd-person/e0272220-99f1-4cfb-9d29-946b86279e0b,Bo Mitchell,Democratic,50,lower,Bo,Mitchell,,,,,http://www.capitol.tn.gov/house/members/images/h50.jpg,http://www.capitol.tn.gov/house/members/h50.html,http://www.capitol.tn.gov/house/members/;http://www.capitol.tn.gov/house/members/h50.html,"425 5th Avenue North;Suite 576 Cordell Hull Bldg.;Nashville, TN 37243",rep.bo.mitchell@capitol.tn.gov,615-741-4317,615-741-0360,,,,,,,,
ocd-person/86d5ff12-369b-41a4-9626-237425063c1b,Bo Watson,Republican,11,upper,Bo,Watson,,,,,http://www.capitol.tn.gov/senate/members/images/s11.jpg,http://www.capitol.tn.gov/senate/members/s11.html,http://www.capitol.tn.gov/senate/members/;http://www.capitol.tn.gov/senate/members/s11.html,"425 5th Avenue North;Suite 706 Cordell Hull Bldg.;Nashville, TN 37243",sen.bo.watson@capitol.tn.gov,615-741-3227,615-253-0280,,,,,,,,
ocd-person/c8a26be8-8de1-434b-864a-21697f8f15d4,Bob Freeman,Democratic,56,lower,Bob,Freeman,,,,,http://www.capitol.tn.gov/house/members/images/h56.jpg,http://www.capitol.tn.gov/house/members/h56.html,http://www.capitol.tn.gov/house/members/;http://www.capitol.tn.gov/house/members/h56.html,"425 5th Avenue North;Suite 420 Cordell Hull Bldg.;Nashville, TN 37243",rep.bob.freeman@capitol.tn.gov,615-741-9524,615-253-0162,,,,,,,,
ocd-person/58a94cd7-99c4-42b9-b4c9-4cc7eec698af,Bob Ramsey,Republican,20,lower,Bob,Ramsey,,,,,http://www.capitol.tn.gov/house/members/images/h20.jpg,http://www.capitol.tn.gov/house/members/h20.html,http://www.capitol.tn.gov/house/members/;http://www.capitol.tn.gov/house/members/h20.html,"425 5th Avenue North;Suite 428 Cordell Hull Bldg.;Nashville, TN 37243",rep.bob.ramsey@capitol.tn.gov,615-741-3560,615-253-0376,,,,,,,,
ocd-person/4a27f4b4-c8ff-4e3e-9d92-0640733d55b7,Brandon Ogles,Republican,61,lower,Brandon,Ogles,,,,,http://www.capitol.tn.gov/house/members/images/h61.jpg,http://www.capitol.tn.gov/house/members/h61.html,http://www.capitol.tn.gov/house/members/;http://www.capitol.tn.gov/house/members/h61.html,"425 5th Avenue North;Suite 624 Cordell Hull Bldg.;Nashville, TN 37243",rep.brandon.ogles@capitol.tn.gov,615-741-6808,615-253-0217,,,,,,,,
ocd-person/10cd65be-2388-429b-987f-c3e93bbadab7,Brenda Gilmore,Democratic,19,upper,Brenda,Gilmore,,,,,http://www.capitol.tn.gov/senate/members/images/s19.jpg,http://www.capitol.tn.gov/senate/members/s19.html,http://www.capitol.tn.gov/senate/members/;http://www.capitol.tn.gov/senate/members/s19.html,"425 5th Avenue North;Suite 768 Cordell Hull Bldg.;Nashville, TN 37243",Sen.Brenda.Gilmore@capitol.tn.gov,615-741-2453,615-253-0268,,,,,,,,
ocd-person/d89be454-36d2-4856-97f8-c3bdfaddea8a,Brian Kelsey,Republican,31,upper,Brian,Kelsey,,,,,http://www.capitol.tn.gov/senate/members/images/s31.jpg,http://www.capitol.tn.gov/senate/members/s31.html,http://www.capitol.tn.gov/senate/members/;http://www.capitol.tn.gov/senate/members/s31.html,"425 5th Avenue North;Suite 716 Cordell Hull Bldg.;Nashville, TN 37243",sen.brian.kelsey@capitol.tn.gov,615-741-3036,615-253-0266,,,,,,,,
ocd-person/7aeba51e-61da-44b4-854f-f6c4dfe87618,Bruce Griffey,Republican,75,lower,Bruce,Griffey,,,,,http://www.capitol.tn.gov/house/members/images/h75.jpg,http://www.capitol.tn.gov/house/members/h75.html,http://www.capitol.tn.gov/house/members/;http://www.capitol.tn.gov/house/members/h75.html,"425 5th Avenue North;Suite 556 Cordell Hull Bldg.;Nashville, TN 37243",rep.bruce.griffey@capitol.tn.gov,615-741-6804,615-253-0239,,,,,,,,
